Seq2;ee=0.0059;size=160465;	GFP11_A
Seq3;ee=0.0059;size=148846;	GFP31_A
Seq7;ee=0.0059;size=91582;	PE30_A
Seq9;ee=0.0059;size=71839;	GFP8_A
Seq8;ee=0.0059;size=75774;	PE50_A
Seq10;ee=0.0059;size=71565;	GFP43_A
Seq11;ee=0.0059;size=68091;	GFP14_A
Seq12;ee=0.0059;size=60940;	CTLA-Avidin1_A
Seq13;ee=0.0059;size=57242;	GFP3_A
Seq14;ee=0.0059;size=56534;	GFP6_A
Seq15;ee=0.0059;size=56117;	GFP48_A
Seq17;ee=0.0059;size=47545;	GFP39_A
Seq19;ee=0.0059;size=43556;	GFP17_A
Seq18;ee=0.0067;size=47041;	GFP34_A
Seq20;ee=0.0059;size=39573;	GFP5_A
Seq21;ee=0.0059;size=33190;	PD1-Avidin21_A
Seq22;ee=0.0059;size=29045;	Luciferase17_A
Seq23;ee=0.0059;size=28822;	Luciferase9_A
Seq4;ee=0.0059;size=135120;	CTLA-Avidin19_A
Seq25;ee=0.0059;size=25052;	GFP32_A
Seq6;ee=0.0059;size=94011;	GFP25_A
Seq24;ee=0.0059;size=27235;	GFP2_A
Seq29;ee=0.0059;size=21949;	GFP9_A
Seq30;ee=0.0059;size=21228;	GFP47_A
Seq32;ee=0.0059;size=19434;	GFP42_A
Seq34;ee=0.0059;size=17275;	PD1-Avidin43_A
Seq33;ee=0.0059;size=17769;	PD1-Avidin20_A
Seq35;ee=0.0059;size=16672;	GFP23_A
Seq16;ee=0.0059;size=51530;	GFP20_A
Seq39;ee=0.0062;size=14390;	Luciferase43_N
Seq37;ee=0.0059;size=15437;	GFP45_A
Seq5;ee=0.0059;size=127048;	GFP22_A
Seq38;ee=0.0059;size=15269;	CTLA-Avidin38_A
Seq36;ee=0.0059;size=15985;	PE7_A
Seq41;ee=0.0059;size=13810;	PE3_A
Seq40;ee=0.0059;size=14191;	PD1-Avidin44_A
Seq42;ee=0.0059;size=13714;	PE38_A
Seq46;ee=0.0062;size=10887;	VEGF39_N
Seq47;ee=0.007;size=10503;	PE9_N
Seq50;ee=0.0059;size=9678;	CTLA-Tris-Carb50_A
Seq45;ee=0.0064;size=11521;	PD1-Avidin40_A
Seq49;ee=0.0059;size=9709;	GFP33_A
Seq48;ee=0.0059;size=10415;	GFP15_A
Seq31;ee=0.0062;size=20540;	VEGF15_N
Seq28;ee=0.0059;size=23353;	CTLA-Avidin35_A
