Seq2;ee=0.014;size=26387;	Unsorted_L38
Seq4;ee=0.0059;size=10413;	Unsorted_A45
Seq3;ee=0.0059;size=13515;	Unsorted_A36
Seq9;ee=0.0059;size=3402;	PE50_A
Seq11;ee=0.0059;size=3035;	GFP11_A
Seq5;ee=0.0059;size=5113;	PE36_A
Seq13;ee=0.0059;size=3003;	GFP22_A
Seq6;ee=0.0059;size=4521;	CTLA-Avidin19_A
Seq12;ee=0.0059;size=3019;	GFP14_A
Seq14;ee=0.0059;size=2900;	CTLA-Avidin1_A
Seq16;ee=0.017;size=2819;	Unsorted_J8
Seq19;ee=0.0059;size=2581;	PE30_A
Seq8;ee=0.0059;size=3449;	GFP31_A
Seq23;ee=0.013;size=2080;	Unsorted_L51
Seq22;ee=0.0059;size=2228;	GFP48_A
Seq24;ee=0.013;size=1938;	Unsorted_L11
Seq18;ee=0.0059;size=2589;	PD1-Avidin21_A
Seq29;ee=0.0059;size=1499;	GFP34_A
Seq32;ee=0.17;size=1450;	Unsorted_L17
Seq30;ee=0.0059;size=1474;	GFP8_A
Seq20;ee=0.0059;size=2235;	GFP20_A
Seq39;ee=0.0059;size=1296;	PE3_A
Seq38;ee=0.0086;size=1310;	GFP43_A
Seq31;ee=0.0059;size=1464;	GFP17_A
Seq46;ee=0.0059;size=1187;	GFP26_A
Seq27;ee=0.0059;size=1572;	GFP3_A
Seq48;ee=0.012;size=1175;	Unsorted_P30
Seq56;ee=0.0099;size=1003;	CTLA-Avidin38_A
Seq52;ee=0.0059;size=1040;	GFP16_A
Seq15;ee=0.013;size=2845;	Unsorted_L13
Seq59;ee=0.0059;size=981;	Unsorted_A28
Seq45;ee=0.0059;size=1234;	GFP25_A
Seq55;ee=0.0059;size=1005;	Unsorted_A75
Seq63;ee=0.0059;size=947;	Luciferase9_A
Seq62;ee=0.0059;size=956;	GFP6_A
Seq64;ee=0.0059;size=945;	PD1-Avidin18_A
Seq67;ee=0.011;size=920;	Unsorted_P70
Seq54;ee=0.011;size=1007;	GFP42_A
Seq61;ee=0.011;size=962;	Unsorted_P28
Seq69;ee=0.0059;size=916;	GFP2_A
Seq70;ee=0.013;size=897;	Unsorted_L46
Seq71;ee=0.013;size=861;	Unsorted_L37
Seq75;ee=0.0059;size=841;	GFP39_A
Seq80;ee=0.0059;size=816;	PD1-Avidin2_A
Seq81;ee=0.013;size=816;	Unsorted_L12
Seq85;ee=0.0059;size=803;	Unsorted_A27
Seq82;ee=0.0059;size=813;	Unsorted_A6
Seq92;ee=0.012;size=773;	Unsorted_P5
Seq101;ee=0.011;size=727;	CTLA-Avidin35_A
Seq99;ee=0.0059;size=741;	GFP45_A
Seq102;ee=0.01;size=716;	PE38_A
Seq103;ee=0.0059;size=705;	Unsorted_A37
Seq105;ee=0.0099;size=697;	PD1-Avidin44_A
Seq107;ee=0.0062;size=694;	VEGF15_N
Seq113;ee=0.0059;size=668;	Luciferase17_A
Seq120;ee=0.021;size=612;	Unsorted_E36
Seq124;ee=0.0059;size=605;	GFP5_A
Seq122;ee=0.013;size=608;	Unsorted_L42
Seq128;ee=0.0059;size=589;	CTLA-Avidin7_A
Seq131;ee=0.012;size=570;	Unsorted_P65
Seq143;ee=0.013;size=540;	Unsorted_P74
Seq158;ee=0.0059;size=493;	PD1-Avidin43_A
Seq161;ee=0.013;size=489;	Unsorted_P6
Seq168;ee=0.013;size=476;	Unsorted_L71
Seq167;ee=0.0062;size=481;	VEGF39_N
Seq179;ee=0.0059;size=463;	GFP23_A
Seq180;ee=0.013;size=463;	Unsorted_L61
Seq181;ee=0.0095;size=462;	GFP9_A
Seq187;ee=0.0059;size=451;	PD1-Avidin20_A
Seq186;ee=0.0059;size=451;	PD1-Avidin40_A
Seq191;ee=0.0062;size=443;	Luciferase43_N
Seq192;ee=0.0059;size=443;	Unsorted_A35
Seq194;ee=0.0059;size=436;	Unsorted_A73
Seq196;ee=0.017;size=431;	Unsorted_J49
Seq209;ee=0.014;size=409;	Unsorted_L27
Seq211;ee=0.014;size=405;	Unsorted_E31
Seq217;ee=0.013;size=393;	Native_L1
Seq225;ee=0.01;size=383;	PE7_A
Seq224;ee=0.014;size=385;	Unsorted_L39
Seq231;ee=0.016;size=380;	Unsorted_B31
Seq237;ee=0.013;size=377;	Unsorted_L20
Seq235;ee=0.0059;size=378;	Unsorted_A32
Seq242;ee=0.0059;size=369;	CTLA-Avidin12_A
Seq245;ee=0.0059;size=368;	Unsorted_A64
Seq244;ee=0.0062;size=369;	Luciferase5_N
Seq251;ee=0.013;size=363;	Unsorted_L26
Seq257;ee=0.011;size=355;	Unsorted_H25
Seq256;ee=0.018;size=355;	Unsorted_J21
Seq259;ee=0.013;size=353;	Unsorted_L58
Seq260;ee=0.012;size=350;	Native_H1
Seq267;ee=0.013;size=345;	Unsorted_L22
Seq280;ee=0.0059;size=327;	Unsorted_A47
Seq281;ee=0.013;size=326;	Unsorted_L36
Seq283;ee=0.0059;size=326;	Unsorted_A13
Seq287;ee=0.0059;size=321;	Native_A1
Seq291;ee=0.013;size=319;	Unsorted_L9
Seq296;ee=0.0059;size=315;	GFP32_A
Seq299;ee=0.0059;size=312;	PD1-Avidin29_A
Seq310;ee=0.012;size=305;	Unsorted_P26
Seq304;ee=0.06;size=307;	Unsorted_A59
Seq316;ee=0.0062;size=300;	Unsorted_N1
Seq315;ee=0.11;size=301;	Unsorted_E18
Seq332;ee=0.0059;size=285;	Unsorted_A52
Seq349;ee=0.013;size=276;	Unsorted_L28
Seq351;ee=0.0059;size=275;	PD1-Avidin12_A
Seq352;ee=0.017;size=275;	Unsorted_J19
Seq358;ee=0.013;size=274;	Unsorted_L1
Seq353;ee=0.0059;size=275;	PD1-Avidin4_A
Seq363;ee=0.013;size=271;	Unsorted_L2
Seq372;ee=0.0059;size=268;	Unsorted_A53
Seq381;ee=0.014;size=262;	Unsorted_L63
Seq386;ee=0.054;size=257;	Unsorted_L60
Seq394;ee=0.0059;size=254;	Unsorted_A9
Seq404;ee=0.013;size=249;	Unsorted_L49
Seq416;ee=0.014;size=243;	PE44_O
Seq411;ee=0.017;size=245;	Unsorted_J36
Seq422;ee=0.019;size=241;	Unsorted_I5
Seq426;ee=0.0059;size=240;	CTLA-Tris-Carb50_A
Seq428;ee=0.0059;size=240;	Unsorted_A57
Seq433;ee=0.0059;size=238;	Unsorted_A39
Seq469;ee=0.017;size=225;	Unsorted_J4
Seq470;ee=0.011;size=225;	GFP44_A
Seq473;ee=0.0062;size=224;	Unsorted_N29
