Seq2;ee=0.013;size=118913;	Unsorted_L37
Seq5;ee=0.013;size=81063;	Unsorted_L11
Seq6;ee=0.0059;size=75907;	PE50_A
Seq7;ee=0.0059;size=60267;	GFP3_A
Seq8;ee=0.0059;size=49367;	CTLA-Avidin1_A
Seq9;ee=0.014;size=35722;	Unsorted_L17
Seq10;ee=0.0059;size=32214;	CTLA-Avidin19_A
Seq11;ee=0.0059;size=31445;	GFP43_A
Seq12;ee=0.0059;size=28510;	Unsorted_A47
Seq13;ee=0.0059;size=26019;	GFP20_A
Seq14;ee=0.014;size=20732;	Unsorted_L2
Seq15;ee=0.0059;size=20727;	Unsorted_A12
Seq16;ee=0.014;size=18542;	Unsorted_L63
Seq17;ee=0.0062;size=18006;	Unsorted_N1
Seq18;ee=0.014;size=15730;	Unsorted_L51
Seq19;ee=0.0059;size=15494;	Unsorted_A32
Seq20;ee=0.013;size=14927;	Unsorted_L34
Seq3;ee=0.0062;size=87688;	Unsorted_A6
Seq21;ee=0.042;size=14851;	Unsorted_L12
Seq22;ee=0.013;size=14345;	Unsorted_L13
Seq4;ee=0.0059;size=85478;	PE30_A
Seq23;ee=0.0059;size=14207;	Unsorted_A51
Seq24;ee=0.0059;size=13396;	GFP45_A
Seq26;ee=0.0059;size=13258;	PD1-Avidin20_A
Seq28;ee=0.0059;size=10734;	Unsorted_A36
Seq31;ee=0.017;size=9861;	Unsorted_J49
Seq33;ee=0.0059;size=9117;	CTLA-Avidin38_A
Seq32;ee=0.0059;size=9783;	PE3_A
Seq37;ee=0.0059;size=7976;	Unsorted_A9
Seq38;ee=0.0062;size=7954;	Unsorted_N29
Seq25;ee=0.046;size=13307;	Unsorted_L56
Seq36;ee=0.013;size=8238;	Unsorted_L24
Seq41;ee=0.0059;size=7096;	GFP42_A
Seq42;ee=0.0059;size=6940;	Unsorted_A45
Seq43;ee=0.0059;size=6767;	GFP47_A
Seq44;ee=0.061;size=6751;	Unsorted_E34
Seq45;ee=0.015;size=6534;	Unsorted_E48
Seq46;ee=0.0059;size=6518;	Unsorted_A38
Seq47;ee=0.0059;size=6362;	Unsorted_A68
Seq48;ee=0.0059;size=5964;	CTLA-Tris-Carb50_A
Seq49;ee=0.014;size=5819;	Unsorted_L71
Seq50;ee=0.013;size=5777;	Unsorted_L75
Seq51;ee=0.015;size=5760;	Unsorted_E11
Seq52;ee=0.0059;size=5753;	CTLA-Avidin7_A
Seq53;ee=0.013;size=5747;	Unsorted_L28
Seq54;ee=0.013;size=5658;	Unsorted_L16
Seq56;ee=0.0059;size=5392;	CTLA-Avidin47_A
Seq57;ee=0.011;size=5302;	Unsorted_P5
Seq27;ee=0.013;size=12748;	Unsorted_L20
Seq39;ee=0.0059;size=7854;	Unsorted_A64
Seq40;ee=0.0059;size=7617;	Unsorted_A52
Seq63;ee=0.0059;size=4352;	Unsorted_A29
Seq35;ee=0.0062;size=8372;	PE38_A
Seq34;ee=0.07;size=8727;	Unsorted_J67
Seq66;ee=0.0059;size=3825;	PE36_A
Seq59;ee=0.022;size=4855;	Unsorted_L61
Seq60;ee=0.0059;size=4805;	PD1-Avidin2_A
Seq58;ee=0.0059;size=5001;	PD1-Avidin29_A
Seq65;ee=0.0059;size=3956;	Unsorted_A8
Seq64;ee=0.0062;size=4048;	Unsorted_N54
Seq62;ee=0.0059;size=4448;	Unsorted_A70
Seq30;ee=0.0059;size=9868;	PD1-Avidin18_A
Seq61;ee=0.0059;size=4523;	PD1-Avidin40_A
Seq67;ee=0.0059;size=3728;	Unsorted_A43
Seq68;ee=0.0063;size=3612;	GFP33_A
Seq70;ee=0.067;size=3411;	Unsorted_L27
Seq72;ee=0.014;size=3175;	PE26_O
Seq71;ee=0.049;size=3210;	Unsorted_J23
Seq73;ee=0.013;size=3174;	Unsorted_L42
Seq75;ee=0.0059;size=2808;	GFP40_A
Seq77;ee=0.0059;size=2731;	CTLA-Avidin46_A
Seq79;ee=0.013;size=2618;	Unsorted_L50
Seq76;ee=0.014;size=2744;	PE48_O
Seq78;ee=0.0062;size=2630;	Luciferase43_N
Seq80;ee=0.013;size=2473;	Unsorted_L23
Seq84;ee=0.0059;size=2390;	Unsorted_A62
Seq83;ee=0.015;size=2397;	Unsorted_L67
Seq85;ee=0.0059;size=2357;	Unsorted_A35
Seq87;ee=0.013;size=2296;	Unsorted_L65
Seq86;ee=0.0059;size=2331;	Unsorted_A50
Seq92;ee=0.0059;size=2158;	GFP18_A
Seq93;ee=0.017;size=2078;	Unsorted_B31
Seq91;ee=0.014;size=2167;	Unsorted_L53
Seq88;ee=0.017;size=2292;	Unsorted_J64
Seq90;ee=0.0059;size=2192;	Unsorted_A34
Seq95;ee=0.0059;size=1969;	Unsorted_A58
Seq94;ee=0.015;size=2018;	Unsorted_E27
Seq96;ee=0.015;size=1968;	Unsorted_Q52
Seq97;ee=0.013;size=1960;	Unsorted_L8
Seq100;ee=0.013;size=1830;	Native_L1
Seq99;ee=0.014;size=1832;	Unsorted_L32
Seq101;ee=0.0059;size=1739;	Unsorted_A7
Seq102;ee=0.0059;size=1688;	GFP44_A
Seq98;ee=0.02;size=1845;	Unsorted_G30
Seq103;ee=0.013;size=1652;	Unsorted_L49
Seq106;ee=0.017;size=1607;	Unsorted_J63
Seq109;ee=0.015;size=1514;	Unsorted_E20
Seq107;ee=0.017;size=1573;	Unsorted_J8
Seq110;ee=0.0059;size=1491;	Unsorted_A15
Seq111;ee=0.38;size=1483;	Unsorted_L60
Seq113;ee=0.0059;size=1444;	Unsorted_A28
Seq112;ee=0.013;size=1481;	Unsorted_L52
Seq108;ee=0.013;size=1530;	Unsorted_L36
Seq114;ee=0.0059;size=1443;	PD1-Avidin8_A
Seq115;ee=0.015;size=1382;	Unsorted_E28
Seq117;ee=0.18;size=1344;	Unsorted_L38
Seq120;ee=0.0059;size=1306;	PD1-Avidin46_A
Seq116;ee=0.02;size=1366;	Unsorted_J12
Seq123;ee=0.0059;size=1274;	PD1-Avidin21_A
Seq125;ee=0.043;size=1264;	Native_J1
Seq126;ee=0.079;size=1254;	Unsorted_L26
Seq124;ee=0.014;size=1265;	Unsorted_E36
Seq128;ee=0.041;size=1237;	Unsorted_E50
Seq127;ee=0.015;size=1250;	Unsorted_P54
Seq130;ee=0.011;size=1183;	Unsorted_H60
Seq134;ee=0.0059;size=1148;	GFP16_A
Seq129;ee=0.0059;size=1222;	PD1-Avidin4_A
Seq131;ee=0.015;size=1170;	Unsorted_E18
Seq135;ee=0.014;size=1145;	Unsorted_L7
Seq136;ee=0.015;size=1123;	Unsorted_Q51
Seq133;ee=0.015;size=1149;	Unsorted_Q29
Seq139;ee=0.014;size=1084;	PE47_O
Seq142;ee=0.013;size=1054;	Unsorted_L74
Seq140;ee=0.015;size=1083;	PE14_O
Seq144;ee=0.022;size=1023;	Unsorted_L25
Seq145;ee=0.0059;size=1018;	PD1-Avidin49_A
Seq146;ee=0.44;size=1016;	Unsorted_E44
Seq149;ee=0.014;size=998;	Unsorted_D5
Seq141;ee=0.0059;size=1062;	Unsorted_A20
Seq152;ee=0.0059;size=938;	GFP36_A
Seq151;ee=0.0059;size=980;	GFP31_A
Seq148;ee=0.018;size=1001;	Unsorted_J7
Seq153;ee=0.0059;size=928;	PD1-Avidin12_A
Seq155;ee=0.013;size=912;	Unsorted_L46
Seq160;ee=0.013;size=874;	Unsorted_L29
Seq157;ee=0.015;size=899;	Unsorted_O22
Seq159;ee=0.014;size=882;	Unsorted_E26
Seq161;ee=0.0059;size=860;	GFP1_A
Seq162;ee=0.017;size=857;	Unsorted_J34
Seq164;ee=0.0062;size=834;	Unsorted_N8
Seq165;ee=0.0059;size=811;	GFP46_A
Seq166;ee=0.017;size=805;	Unsorted_J1
Seq168;ee=0.018;size=797;	Unsorted_J48
Seq169;ee=0.017;size=787;	Unsorted_J33
Seq172;ee=0.015;size=771;	Unsorted_E47
Seq170;ee=0.017;size=782;	Unsorted_J41
Seq171;ee=0.018;size=780;	Unsorted_J29
Seq174;ee=0.013;size=747;	Unsorted_L10
Seq173;ee=0.0059;size=748;	Unsorted_A25
Seq176;ee=0.013;size=742;	Unsorted_L1
Seq181;ee=0.012;size=704;	Unsorted_P68
Seq180;ee=0.017;size=706;	Unsorted_J43
Seq184;ee=0.017;size=694;	Unsorted_J15
Seq179;ee=0.013;size=708;	Unsorted_L58
Seq185;ee=0.011;size=675;	Unsorted_P34
Seq183;ee=0.017;size=695;	Unsorted_J74
Seq186;ee=0.017;size=670;	Unsorted_J21
Seq187;ee=0.014;size=666;	Unsorted_E22
Seq192;ee=0.015;size=629;	CTLA-Avidin18_E
Seq194;ee=0.014;size=608;	Unsorted_L9
Seq198;ee=0.014;size=588;	Unsorted_O6
Seq196;ee=0.02;size=597;	Unsorted_J9
Seq195;ee=0.018;size=604;	Unsorted_J45
Seq200;ee=0.019;size=584;	Native_B1
Seq199;ee=0.012;size=586;	Unsorted_P35
Seq202;ee=0.018;size=576;	Unsorted_J27
Seq203;ee=0.011;size=576;	Unsorted_H4
Seq204;ee=0.011;size=574;	Unsorted_H29
Seq206;ee=0.0059;size=567;	Unsorted_A53
Seq205;ee=0.0059;size=570;	GFP11_A
Seq212;ee=0.015;size=542;	Unsorted_E25
Seq213;ee=0.055;size=541;	Unsorted_E37
Seq210;ee=0.0059;size=549;	PD1-Avidin44_A
Seq216;ee=0.011;size=524;	Unsorted_P65
Seq214;ee=0.049;size=540;	Unsorted_P48
Seq209;ee=0.056;size=552;	Unsorted_P60
Seq211;ee=0.013;size=546;	Unsorted_L43
Seq217;ee=0.018;size=522;	Unsorted_E12
Seq218;ee=0.0059;size=517;	GFP48_A
Seq219;ee=0.011;size=510;	Unsorted_P39
Seq220;ee=0.0059;size=501;	Unsorted_A23
Seq224;ee=0.018;size=476;	Unsorted_J19
Seq227;ee=0.018;size=460;	Unsorted_J11
Seq225;ee=0.0059;size=466;	PD1-Avidin32_A
Seq229;ee=0.012;size=449;	Unsorted_P28
Seq226;ee=0.26;size=463;	Unsorted_Q18
Seq228;ee=0.017;size=456;	Unsorted_J10
Seq230;ee=0.0062;size=447;	Unsorted_N31
Seq232;ee=0.0062;size=446;	Unsorted_N43
Seq231;ee=0.0062;size=447;	CTLA-Avidin9_N
Seq235;ee=0.011;size=440;	Unsorted_P70
Seq239;ee=0.012;size=435;	Unsorted_P26
Seq238;ee=0.014;size=437;	PE27_O
Seq240;ee=0.014;size=428;	Unsorted_L4
Seq245;ee=0.0059;size=421;	CTLA-Avidin43_A
Seq244;ee=0.013;size=425;	Unsorted_L33
Seq248;ee=0.0059;size=419;	GFP19_A
Seq236;ee=0.017;size=440;	Unsorted_J32
Seq250;ee=0.73;size=406;	PE34_O
Seq253;ee=0.011;size=404;	Unsorted_H68
Seq252;ee=0.0062;size=404;	PE4_N
Seq256;ee=0.013;size=400;	Unsorted_L39
Seq257;ee=0.017;size=399;	Unsorted_J36
Seq255;ee=0.014;size=402;	Unsorted_Q5
Seq258;ee=0.0059;size=399;	GFP49_A
Seq259;ee=0.0062;size=399;	Unsorted_N37
Seq263;ee=0.014;size=393;	Unsorted_L41
Seq261;ee=0.015;size=395;	Unsorted_E31
Seq264;ee=0.012;size=389;	Unsorted_P14
Seq265;ee=0.013;size=388;	Unsorted_L3
Seq269;ee=0.017;size=383;	Unsorted_J42
Seq268;ee=0.015;size=385;	Unsorted_Q38
Seq270;ee=0.015;size=383;	Unsorted_E54
Seq274;ee=0.0087;size=376;	Unsorted_M13
Seq277;ee=0.011;size=367;	Unsorted_H64
Seq278;ee=0.11;size=365;	Unsorted_J60
Seq283;ee=0.0062;size=359;	VEGF39_N
Seq281;ee=0.018;size=360;	Unsorted_J65
Seq286;ee=0.017;size=356;	Unsorted_J68
Seq293;ee=0.015;size=344;	PE17_O
Seq291;ee=0.017;size=346;	Unsorted_J72
Seq288;ee=0.0059;size=353;	GFP27_A
Seq294;ee=0.012;size=343;	Unsorted_P30
Seq292;ee=0.012;size=345;	Unsorted_P40
Seq298;ee=0.0059;size=341;	Unsorted_A11
Seq296;ee=0.0062;size=343;	Unsorted_N63
Seq302;ee=0.014;size=333;	Unsorted_D2
Seq306;ee=0.0086;size=323;	Unsorted_M74
Seq312;ee=0.011;size=319;	CTLA-Avidin4_H
Seq311;ee=0.0059;size=319;	PD1-Avidin14_A
Seq309;ee=0.0062;size=321;	CTLA-Avidin3_N
Seq319;ee=0.0059;size=315;	GFP5_A
Seq321;ee=0.0059;size=313;	PD1-Avidin41_A
Seq324;ee=0.015;size=308;	Unsorted_E33
Seq325;ee=0.02;size=307;	Unsorted_G33
Seq326;ee=0.0062;size=305;	Unsorted_N15
Seq331;ee=0.0059;size=299;	GFP14_A
Seq329;ee=0.012;size=301;	Unsorted_P10
Seq333;ee=0.0069;size=296;	GFP22_A
Seq335;ee=0.012;size=295;	Unsorted_P9
Seq334;ee=0.014;size=295;	PE18_O
Seq337;ee=0.018;size=293;	Unsorted_J31
Seq344;ee=0.013;size=285;	Unsorted_L45
Seq346;ee=0.0083;size=284;	Unsorted_M65
Seq356;ee=0.012;size=273;	Unsorted_P74
Seq354;ee=0.0088;size=276;	Unsorted_M32
Seq353;ee=0.017;size=277;	Unsorted_J6
Seq358;ee=0.012;size=273;	Unsorted_P45
Seq360;ee=0.014;size=270;	PE37_O
Seq359;ee=0.065;size=271;	Unsorted_O28
Seq367;ee=0.017;size=258;	Unsorted_J30
Seq364;ee=0.015;size=262;	Unsorted_Q62
Seq373;ee=0.017;size=247;	Unsorted_L6
Seq377;ee=0.014;size=243;	Unsorted_O2
Seq374;ee=0.0059;size=246;	PD1-Avidin39_A
Seq379;ee=0.015;size=242;	Native_D1
Seq385;ee=0.0083;size=239;	Unsorted_M27
Seq388;ee=0.013;size=236;	Unsorted_L35
Seq386;ee=0.0086;size=239;	Unsorted_M16
Seq399;ee=0.014;size=231;	PE46_O
Seq397;ee=0.0062;size=232;	Unsorted_N17
Seq396;ee=0.014;size=232;	Unsorted_D17
Seq405;ee=0.011;size=228;	Unsorted_H75
Seq409;ee=0.016;size=227;	CTLA-Tris-Carb16_O
Seq412;ee=0.012;size=226;	Unsorted_P51
Seq421;ee=0.016;size=223;	Unsorted_L19
Seq416;ee=0.0062;size=225;	VEGF15_N
Seq420;ee=0.017;size=223;	Unsorted_J38
Seq423;ee=0.015;size=222;	Unsorted_O45
Seq422;ee=0.011;size=223;	Unsorted_H51
Seq429;ee=0.015;size=217;	Unsorted_E7
Seq432;ee=0.0083;size=216;	Unsorted_M44
Seq433;ee=0.0059;size=216;	PE7_A
Seq430;ee=0.017;size=217;	Unsorted_J56
Seq437;ee=0.02;size=214;	Unsorted_G15
Seq444;ee=0.0059;size=208;	CTLA-Avidin12_A
Seq443;ee=0.012;size=209;	Unsorted_P58
Seq470;ee=0.0059;size=195;	Unsorted_A75
Seq474;ee=0.012;size=192;	Unsorted_P31
Seq475;ee=0.015;size=192;	PD1-Avidin9_E
Seq484;ee=0.044;size=187;	PE19_O
Seq483;ee=0.0059;size=188;	GFP41_A
Seq485;ee=0.016;size=187;	Unsorted_O65
Seq495;ee=0.016;size=182;	Unsorted_E38
Seq519;ee=0.015;size=172;	Unsorted_O1
Seq521;ee=0.015;size=171;	PE40_O
Seq527;ee=0.015;size=169;	Unsorted_E62
Seq523;ee=0.013;size=170;	Unsorted_L18
Seq512;ee=0.0062;size=175;	CTLA-Avidin33_N
Seq526;ee=0.017;size=169;	Unsorted_O64
Seq537;ee=0.044;size=164;	Unsorted_B45
Seq539;ee=0.0059;size=163;	GFP30_A
Seq536;ee=0.015;size=164;	Unsorted_Q37
Seq543;ee=0.017;size=162;	Unsorted_J40
Seq545;ee=0.017;size=160;	Unsorted_J4
Seq557;ee=0.013;size=156;	Unsorted_L15
Seq562;ee=0.0089;size=155;	Unsorted_M61
Seq571;ee=0.0059;size=153;	GFP8_A
Seq569;ee=0.0059;size=153;	Unsorted_A37
Seq574;ee=0.0062;size=153;	Luciferase3_N
Seq577;ee=0.55;size=150;	Unsorted_E58
Seq578;ee=0.0062;size=150;	Unsorted_N73
Seq579;ee=0.0059;size=150;	GFP34_A
Seq582;ee=0.014;size=149;	Unsorted_O25
Seq576;ee=0.011;size=151;	Unsorted_P6
Seq586;ee=0.0059;size=148;	GFP24_A
Seq584;ee=0.0059;size=148;	Luciferase9_A
Seq595;ee=0.0059;size=146;	GFP26_A
Seq594;ee=0.062;size=146;	Unsorted_J44
Seq603;ee=0.015;size=144;	Unsorted_Q54
Seq610;ee=0.017;size=141;	Unsorted_J50
Seq616;ee=0.0059;size=139;	Unsorted_A10
Seq614;ee=0.45;size=140;	PE44_O
Seq619;ee=0.0059;size=138;	GFP12_A
Seq625;ee=0.021;size=138;	Unsorted_G44
Seq626;ee=0.015;size=137;	PD1-Avidin13_E
Seq634;ee=0.0059;size=135;	GFP6_A
Seq635;ee=0.0077;size=135;	Luciferase41_N
Seq630;ee=0.0059;size=136;	GFP2_A
Seq654;ee=0.014;size=130;	Unsorted_O57
Seq659;ee=0.015;size=129;	Unsorted_O27
Seq644;ee=0.37;size=133;	Unsorted_P24
Seq668;ee=0.015;size=127;	Unsorted_Q28
Seq673;ee=0.0064;size=127;	VEGF21_N
Seq662;ee=0.014;size=129;	Unsorted_O36
Seq670;ee=0.011;size=127;	Unsorted_H39
Seq671;ee=0.45;size=127;	Unsorted_E24
Seq672;ee=0.0062;size=127;	PE9_N
Seq676;ee=0.011;size=126;	Unsorted_H71
Seq681;ee=0.014;size=124;	PE20_O
Seq686;ee=0.0062;size=123;	Unsorted_N13
Seq690;ee=0.016;size=122;	Unsorted_B68
Seq701;ee=0.0086;size=119;	Native_M1
Seq694;ee=0.0062;size=120;	Unsorted_N61
Seq700;ee=0.015;size=120;	Unsorted_E52
Seq702;ee=0.0062;size=119;	Unsorted_N27
Seq708;ee=0.0062;size=118;	Unsorted_N74
Seq711;ee=0.0062;size=117;	Unsorted_N5
Seq723;ee=0.014;size=115;	PE11_O
Seq722;ee=0.0059;size=115;	PD1-Avidin28_A
Seq726;ee=0.0059;size=115;	GFP39_A
Seq731;ee=0.012;size=114;	Unsorted_P52
Seq753;ee=0.014;size=108;	Unsorted_O8
Seq748;ee=0.011;size=109;	Unsorted_H22
Seq746;ee=0.015;size=110;	Native_Q1
Seq761;ee=0.019;size=107;	Unsorted_J75
Seq771;ee=0.014;size=106;	Unsorted_D14
Seq772;ee=0.0062;size=105;	PD1-Avidin30_N
Seq773;ee=0.0059;size=105;	Unsorted_A72
Seq782;ee=0.0085;size=105;	Unsorted_M52
Seq789;ee=0.014;size=104;	Unsorted_O10
Seq812;ee=0.017;size=101;	Unsorted_B4
Seq828;ee=0.014;size=99;	Unsorted_L22
Seq830;ee=0.013;size=99;	Unsorted_L31
Seq833;ee=0.0059;size=98;	Luciferase17_A
Seq838;ee=0.0062;size=97;	PE22_N
Seq856;ee=0.011;size=96;	Unsorted_P62
Seq870;ee=0.015;size=94;	Unsorted_Q42
Seq895;ee=0.017;size=92;	Unsorted_J71
Seq889;ee=0.012;size=92;	Unsorted_P53
Seq902;ee=0.015;size=91;	Unsorted_Q55
Seq912;ee=0.0062;size=90;	VEGF9_N
Seq921;ee=0.12;size=90;	PD1-Avidin38_E
Seq929;ee=0.019;size=89;	Unsorted_D42
Seq936;ee=0.0062;size=88;	PD1-Avidin27_N
Seq938;ee=0.015;size=88;	Unsorted_Q41
Seq942;ee=0.011;size=88;	Unsorted_H53
Seq945;ee=0.017;size=88;	Unsorted_J47
Seq958;ee=0.012;size=87;	Unsorted_P50
Seq957;ee=0.017;size=87;	Unsorted_H28
Seq961;ee=0.013;size=87;	Unsorted_L69
Seq966;ee=0.0059;size=86;	Unsorted_A27
Seq972;ee=0.017;size=86;	Luciferase27_J
Seq967;ee=0.014;size=86;	Unsorted_D7
Seq981;ee=0.015;size=86;	Unsorted_Q73
Seq986;ee=0.0059;size=85;	GFP17_A
Seq989;ee=0.012;size=85;	Unsorted_P69
Seq985;ee=0.016;size=85;	Unsorted_B60
Seq993;ee=0.021;size=85;	Unsorted_N19
Seq998;ee=0.015;size=84;	Unsorted_Q33
Seq1002;ee=0.017;size=84;	Unsorted_J28
Seq1028;ee=0.014;size=82;	PE35_O
Seq1033;ee=0.017;size=81;	Unsorted_J58
Seq1060;ee=0.014;size=79;	Unsorted_O46
Seq1074;ee=0.0059;size=77;	PD1-Avidin23_A
Seq1078;ee=0.0059;size=77;	PD1-Avidin3_A
Seq1068;ee=0.55;size=78;	Unsorted_J46
Seq1093;ee=0.0059;size=77;	CTLA-Avidin22_A
Seq1102;ee=0.0059;size=76;	PD1-Avidin35_A
Seq1100;ee=0.0062;size=76;	Unsorted_N39
Seq1109;ee=0.0059;size=75;	GFP25_A
Seq1118;ee=0.0062;size=75;	Unsorted_N58
Seq1112;ee=0.0062;size=75;	Luciferase6_N
Seq1119;ee=0.0062;size=75;	Unsorted_N42
Seq1132;ee=0.0084;size=74;	Unsorted_M75
Seq1146;ee=0.011;size=73;	PD1-Avidin24_H
Seq1158;ee=0.0059;size=73;	PD1-Avidin43_A
Seq1161;ee=0.0059;size=72;	GFP15_A
Seq1166;ee=0.013;size=72;	Unsorted_L14
Seq1189;ee=0.014;size=71;	PE45_O
Seq1197;ee=0.0098;size=70;	Unsorted_A69
Seq1225;ee=0.0082;size=69;	Unsorted_M47
Seq1271;ee=0.015;size=66;	Unsorted_E73
Seq1278;ee=0.068;size=66;	Unsorted_D21
Seq1296;ee=0.0059;size=65;	CTLA-Avidin35_A
Seq1330;ee=0.02;size=64;	Native_G1
Seq1341;ee=0.017;size=63;	Unsorted_B13
Seq1348;ee=0.015;size=63;	Unsorted_Q43
Seq1393;ee=0.081;size=61;	Unsorted_Q26
Seq1429;ee=0.0059;size=60;	GFP29_A
Seq1433;ee=0.014;size=60;	Unsorted_D68
Seq1448;ee=0.016;size=59;	Unsorted_B24
Seq1458;ee=0.054;size=59;	Unsorted_D64
Seq1460;ee=0.77;size=59;	Unsorted_O34
Seq1462;ee=0.017;size=58;	Unsorted_J61
Seq1465;ee=0.012;size=58;	Unsorted_P57
Seq1470;ee=0.019;size=58;	Unsorted_J51
