Seq2;ee=0.0059;size=154920;	Unsorted_A75
Seq3;ee=0.015;size=138425;	Unsorted_L37
Seq5;ee=0.18;size=102901;	Unsorted_L46
Seq7;ee=0.013;size=83254;	Unsorted_L27
Seq6;ee=0.0059;size=102112;	Unsorted_A6
Seq8;ee=0.18;size=73772;	Unsorted_L36
Seq9;ee=0.0059;size=67234;	Unsorted_A37
Seq11;ee=0.013;size=65859;	Native_L1
Seq13;ee=0.014;size=60720;	Unsorted_L71
Seq12;ee=0.0059;size=61209;	Unsorted_A27
Seq15;ee=0.0059;size=51122;	Unsorted_A47
Seq17;ee=0.0059;size=49523;	Unsorted_A73
Seq16;ee=0.013;size=50438;	Unsorted_L12
Seq18;ee=0.018;size=47911;	Unsorted_L63
Seq20;ee=0.0062;size=45787;	Unsorted_N1
Seq21;ee=0.015;size=44545;	Unsorted_L51
Seq22;ee=0.077;size=40877;	Unsorted_L9
Seq24;ee=0.0059;size=37641;	Unsorted_A32
Seq23;ee=0.0059;size=40862;	Unsorted_A72
Seq25;ee=0.013;size=37473;	Unsorted_L13
Seq26;ee=0.014;size=36200;	Unsorted_L2
Seq27;ee=0.0059;size=35183;	Unsorted_A39
Seq29;ee=0.0059;size=30328;	Unsorted_A59
Seq28;ee=0.014;size=32279;	Unsorted_L58
Seq30;ee=0.0059;size=28294;	Unsorted_A36
Seq31;ee=0.013;size=27855;	Unsorted_L56
Seq4;ee=0.013;size=118546;	Unsorted_L11
Seq34;ee=0.0059;size=27442;	Unsorted_A13
Seq10;ee=0.013;size=66456;	Unsorted_L17
Seq35;ee=0.017;size=27139;	Unsorted_J49
Seq19;ee=0.0059;size=46422;	Unsorted_A12
Seq41;ee=0.012;size=20970;	Unsorted_P5
Seq40;ee=0.0063;size=21409;	Unsorted_A4
Seq14;ee=0.013;size=60287;	Unsorted_L39
Seq39;ee=0.0059;size=23030;	Native_A1
Seq44;ee=0.0059;size=18417;	Unsorted_A57
Seq42;ee=0.013;size=20637;	Unsorted_L34
Seq36;ee=0.0059;size=26243;	Unsorted_A9
Seq45;ee=0.0059;size=18233;	Unsorted_A51
Seq43;ee=0.52;size=19257;	Unsorted_B31
Seq46;ee=0.0059;size=17992;	Unsorted_A14
Seq47;ee=0.013;size=17896;	Unsorted_L20
Seq32;ee=0.0059;size=27624;	Unsorted_A53
Seq51;ee=0.0059;size=14692;	Unsorted_A52
Seq49;ee=0.014;size=16894;	Unsorted_L28
Seq52;ee=0.013;size=14308;	Unsorted_L16
Seq50;ee=0.0059;size=16007;	Unsorted_A64
Seq48;ee=0.0059;size=17251;	Unsorted_A70
Seq53;ee=0.0059;size=13841;	Unsorted_A45
Seq54;ee=0.0059;size=13287;	Unsorted_A68
Seq57;ee=0.0062;size=12426;	Native_N1
Seq55;ee=0.0059;size=12948;	Unsorted_A62
Seq33;ee=0.0059;size=27469;	Unsorted_A23
Seq56;ee=0.013;size=12614;	Unsorted_L61
Seq59;ee=0.013;size=12285;	Unsorted_L10
Seq37;ee=0.0059;size=24483;	Unsorted_A50
Seq38;ee=0.0062;size=23699;	Unsorted_N29
Seq60;ee=0.013;size=12145;	Unsorted_L1
Seq58;ee=0.0059;size=12310;	Unsorted_A61
Seq61;ee=0.0059;size=11966;	Unsorted_A71
Seq62;ee=0.016;size=11964;	Native_H1
Seq63;ee=0.013;size=11963;	Unsorted_L24
Seq64;ee=0.0062;size=11710;	Unsorted_N54
Seq65;ee=0.02;size=11152;	Unsorted_J67
Seq66;ee=0.013;size=10974;	Unsorted_L38
Seq71;ee=0.09;size=10413;	Unsorted_L22
Seq70;ee=0.013;size=10532;	Unsorted_L15
Seq67;ee=0.017;size=10947;	Unsorted_J23
Seq69;ee=0.013;size=10922;	Unsorted_L75
Seq68;ee=0.015;size=10929;	Unsorted_E34
Seq72;ee=0.0059;size=9703;	Unsorted_A65
Seq73;ee=0.0059;size=9598;	Unsorted_A8
Seq74;ee=0.0059;size=9324;	Unsorted_A38
Seq77;ee=0.0059;size=8900;	Unsorted_A69
Seq79;ee=0.013;size=8512;	Unsorted_L19
Seq78;ee=0.017;size=8741;	Unsorted_F31
Seq75;ee=0.013;size=9068;	Unsorted_L14
Seq76;ee=0.0059;size=9049;	Unsorted_A44
Seq83;ee=0.0059;size=7780;	Unsorted_A43
Seq81;ee=0.013;size=8180;	Unsorted_L18
Seq80;ee=0.013;size=8275;	Unsorted_L5
Seq82;ee=0.015;size=7901;	Unsorted_E48
Seq84;ee=0.015;size=7773;	Unsorted_E50
Seq85;ee=0.016;size=7757;	Native_B1
Seq91;ee=0.0059;size=6850;	Unsorted_A21
Seq86;ee=0.096;size=7465;	Unsorted_L50
Seq90;ee=0.014;size=7242;	Unsorted_L49
Seq88;ee=0.016;size=7329;	Unsorted_E11
Seq89;ee=0.0059;size=7293;	Unsorted_A63
Seq87;ee=0.017;size=7438;	Unsorted_J8
Seq94;ee=0.014;size=6763;	Native_E1
Seq93;ee=0.0059;size=6819;	Unsorted_A26
Seq92;ee=0.017;size=6835;	Unsorted_J63
Seq95;ee=0.0059;size=6677;	Unsorted_A2
Seq97;ee=0.0059;size=6552;	Unsorted_A29
Seq98;ee=0.015;size=6492;	Unsorted_E57
Seq100;ee=0.27;size=6323;	Unsorted_J64
Seq101;ee=0.017;size=6320;	Native_J1
Seq99;ee=0.0059;size=6472;	Unsorted_A35
Seq96;ee=0.019;size=6615;	Unsorted_J12
Seq103;ee=0.013;size=6146;	Unsorted_L42
Seq102;ee=0.013;size=6291;	Unsorted_L60
Seq104;ee=0.011;size=6135;	Native_P1
Seq105;ee=0.0059;size=6064;	Unsorted_A19
Seq106;ee=0.013;size=6000;	Unsorted_L67
Seq109;ee=0.0059;size=5732;	Unsorted_A1
Seq108;ee=0.0059;size=5756;	Unsorted_A22
Seq107;ee=0.0059;size=5867;	Unsorted_A67
Seq110;ee=0.018;size=5419;	Unsorted_J32
Seq113;ee=0.017;size=5001;	Unsorted_J1
Seq111;ee=0.0059;size=5091;	Unsorted_A54
Seq112;ee=0.0062;size=5014;	Unsorted_N73
Seq114;ee=0.017;size=4797;	Unsorted_J33
Seq116;ee=0.0059;size=4675;	Unsorted_A33
Seq115;ee=0.0062;size=4687;	Unsorted_N43
Seq118;ee=0.0059;size=4587;	Unsorted_A42
Seq117;ee=0.0062;size=4640;	Unsorted_N40
Seq119;ee=0.013;size=4537;	Unsorted_L29
Seq120;ee=0.015;size=4422;	Unsorted_E49
Seq122;ee=0.055;size=4230;	Unsorted_J45
Seq121;ee=0.017;size=4240;	Unsorted_J29
Seq125;ee=0.018;size=4028;	Unsorted_F40
Seq124;ee=0.013;size=4036;	Unsorted_L7
Seq123;ee=0.017;size=4163;	Unsorted_F19
Seq126;ee=0.018;size=4008;	Unsorted_J15
Seq128;ee=0.0065;size=3890;	Unsorted_A40
Seq127;ee=0.017;size=3958;	Unsorted_E20
Seq129;ee=0.013;size=3852;	Unsorted_L8
Seq131;ee=0.011;size=3783;	Unsorted_P54
Seq130;ee=0.013;size=3811;	Unsorted_L4
Seq132;ee=0.0059;size=3752;	Unsorted_A16
Seq133;ee=0.014;size=3742;	Unsorted_L65
Seq136;ee=0.0059;size=3608;	Unsorted_A7
Seq134;ee=0.0062;size=3675;	Unsorted_N3
Seq135;ee=0.0059;size=3645;	Unsorted_A34
Seq137;ee=0.013;size=3541;	Unsorted_L52
Seq138;ee=0.015;size=3527;	Unsorted_E56
Seq139;ee=0.015;size=3417;	Unsorted_Q52
Seq140;ee=0.017;size=3407;	Unsorted_J7
Seq141;ee=0.015;size=3399;	Unsorted_E18
Seq143;ee=0.0059;size=3372;	Unsorted_A17
Seq144;ee=0.014;size=3359;	Unsorted_L53
Seq142;ee=0.02;size=3373;	Unsorted_B60
Seq145;ee=0.13;size=3316;	Unsorted_E66
Seq146;ee=0.013;size=3304;	Unsorted_L57
Seq148;ee=0.023;size=3187;	Unsorted_C73
Seq147;ee=0.012;size=3203;	Unsorted_P65
Seq150;ee=0.018;size=3106;	Unsorted_J41
Seq149;ee=0.016;size=3127;	Unsorted_E27
Seq151;ee=0.017;size=3011;	Unsorted_J21
Seq152;ee=0.0059;size=2998;	Unsorted_A58
Seq153;ee=0.015;size=2977;	Unsorted_E52
Seq154;ee=0.012;size=2974;	Unsorted_P68
Seq156;ee=0.094;size=2849;	Unsorted_J43
Seq157;ee=0.014;size=2825;	Unsorted_L25
Seq155;ee=0.014;size=2887;	Unsorted_L32
Seq158;ee=0.013;size=2796;	Unsorted_L23
Seq159;ee=0.015;size=2769;	Unsorted_Q27
Seq161;ee=0.019;size=2714;	Unsorted_J35
Seq163;ee=0.017;size=2689;	Unsorted_F7
Seq160;ee=0.014;size=2765;	Unsorted_D17
Seq162;ee=0.0062;size=2711;	Unsorted_N18
Seq164;ee=0.013;size=2685;	Unsorted_L26
Seq165;ee=0.31;size=2681;	Unsorted_L48
Seq166;ee=0.025;size=2670;	Unsorted_C14
Seq168;ee=0.093;size=2583;	Unsorted_J19
Seq167;ee=0.56;size=2637;	Unsorted_C26
Seq170;ee=0.014;size=2566;	Unsorted_L74
Seq169;ee=0.017;size=2568;	Unsorted_F4
Seq171;ee=0.0062;size=2557;	Unsorted_N59
Seq172;ee=0.017;size=2551;	Unsorted_I12
Seq175;ee=0.11;size=2546;	Unsorted_Q6
Seq177;ee=0.017;size=2522;	Unsorted_J60
Seq174;ee=0.059;size=2546;	Unsorted_F18
Seq173;ee=0.015;size=2549;	Unsorted_E47
Seq176;ee=0.055;size=2545;	Unsorted_I70
Seq179;ee=0.018;size=2511;	Unsorted_J48
Seq178;ee=0.017;size=2514;	Unsorted_Q29
Seq180;ee=0.015;size=2500;	Unsorted_E28
Seq182;ee=0.017;size=2450;	Unsorted_J10
Seq181;ee=0.017;size=2468;	Unsorted_J42
Seq183;ee=0.015;size=2437;	Unsorted_E15
Seq185;ee=0.0059;size=2422;	Unsorted_A28
Seq184;ee=0.017;size=2429;	Unsorted_J50
Seq186;ee=0.0059;size=2361;	Unsorted_A30
Seq187;ee=0.012;size=2360;	Unsorted_P48
Seq188;ee=0.013;size=2360;	Unsorted_L68
Seq190;ee=0.015;size=2326;	Unsorted_O6
Seq189;ee=0.015;size=2357;	Unsorted_E44
Seq193;ee=0.0062;size=2290;	Unsorted_N31
Seq191;ee=0.0062;size=2325;	Unsorted_N62
Seq194;ee=0.02;size=2274;	Unsorted_G30
Seq192;ee=0.0059;size=2309;	Unsorted_A15
Seq196;ee=0.046;size=2267;	Unsorted_E1
Seq197;ee=0.02;size=2231;	Unsorted_J34
Seq195;ee=0.017;size=2270;	Unsorted_J68
Seq198;ee=0.012;size=2218;	Unsorted_P26
Seq200;ee=0.012;size=2170;	Unsorted_P9
Seq201;ee=0.014;size=2155;	Unsorted_D5
Seq203;ee=0.017;size=2057;	Unsorted_J9
Seq204;ee=0.0062;size=2033;	Unsorted_N42
Seq199;ee=0.0059;size=2172;	Unsorted_A24
Seq205;ee=0.012;size=1989;	Unsorted_P60
Seq202;ee=0.0062;size=2092;	Unsorted_N8
Seq206;ee=0.012;size=1988;	Unsorted_H45
Seq208;ee=0.017;size=1968;	Unsorted_J11
Seq207;ee=0.015;size=1971;	Unsorted_E26
Seq209;ee=0.22;size=1956;	Unsorted_Q51
Seq210;ee=0.009;size=1935;	Unsorted_M13
Seq211;ee=0.0059;size=1910;	Unsorted_A20
Seq212;ee=0.24;size=1904;	Unsorted_E4
Seq214;ee=0.014;size=1889;	Unsorted_D12
Seq213;ee=0.017;size=1900;	Unsorted_J31
Seq216;ee=0.041;size=1816;	Unsorted_P35
Seq217;ee=0.015;size=1780;	Unsorted_Q5
Seq215;ee=0.016;size=1875;	Unsorted_E36
Seq218;ee=0.015;size=1744;	Unsorted_Q66
Seq219;ee=0.0062;size=1742;	Unsorted_N6
Seq221;ee=0.015;size=1719;	Unsorted_E5
Seq220;ee=0.017;size=1726;	Unsorted_J38
Seq222;ee=0.012;size=1717;	Unsorted_P34
Seq223;ee=0.012;size=1716;	Unsorted_P14
Seq224;ee=0.015;size=1714;	Unsorted_P30
Seq227;ee=0.011;size=1648;	Unsorted_H29
Seq228;ee=0.0089;size=1636;	Unsorted_M64
Seq226;ee=0.012;size=1675;	Unsorted_P28
Seq225;ee=0.018;size=1686;	Unsorted_I52
Seq229;ee=0.015;size=1628;	Unsorted_E51
Seq230;ee=0.0059;size=1620;	Unsorted_A66
Seq231;ee=0.0084;size=1618;	Unsorted_M52
Seq233;ee=0.014;size=1605;	Unsorted_O22
Seq236;ee=0.014;size=1475;	Unsorted_L3
Seq235;ee=0.014;size=1477;	Unsorted_Q34
Seq232;ee=0.017;size=1608;	Unsorted_J36
Seq242;ee=0.017;size=1396;	Unsorted_F5
Seq241;ee=0.056;size=1399;	Unsorted_E71
Seq240;ee=0.017;size=1430;	Unsorted_J65
Seq234;ee=0.024;size=1562;	Unsorted_C13
Seq237;ee=0.014;size=1462;	Unsorted_L33
Seq239;ee=0.018;size=1440;	Unsorted_B47
Seq243;ee=0.017;size=1392;	Unsorted_J74
Seq246;ee=0.0089;size=1361;	Unsorted_M16
Seq244;ee=0.023;size=1378;	Unsorted_G68
Seq245;ee=0.017;size=1362;	Unsorted_F1
Seq247;ee=0.036;size=1360;	Unsorted_M2
Seq248;ee=0.0086;size=1345;	Unsorted_M32
Seq250;ee=0.015;size=1330;	Unsorted_E54
Seq249;ee=0.0062;size=1341;	Unsorted_N15
Seq251;ee=0.016;size=1321;	Native_D1
Seq253;ee=0.017;size=1314;	Unsorted_J27
Seq255;ee=0.044;size=1309;	Unsorted_J30
Seq252;ee=0.017;size=1319;	Unsorted_F21
Seq257;ee=0.012;size=1305;	Unsorted_P70
Seq256;ee=0.0059;size=1305;	Unsorted_A25
Seq258;ee=0.02;size=1286;	Unsorted_G33
Seq260;ee=0.0059;size=1282;	Unsorted_A5
Seq254;ee=0.015;size=1312;	Unsorted_E22
Seq263;ee=0.012;size=1257;	Unsorted_P74
Seq261;ee=0.045;size=1266;	Unsorted_F70
Seq265;ee=0.0062;size=1200;	Unsorted_N27
Seq262;ee=0.017;size=1261;	Unsorted_I23
Seq264;ee=0.0062;size=1220;	Unsorted_N63
Seq266;ee=0.015;size=1196;	Unsorted_E31
Seq267;ee=0.015;size=1192;	Unsorted_Q36
Seq268;ee=0.018;size=1191;	Unsorted_J56
Seq271;ee=0.016;size=1169;	Unsorted_B45
Seq272;ee=0.015;size=1143;	Unsorted_E37
Seq270;ee=0.014;size=1175;	Unsorted_O25
Seq274;ee=0.0086;size=1138;	Unsorted_M65
Seq273;ee=0.015;size=1140;	Unsorted_E12
Seq276;ee=0.011;size=1131;	Unsorted_H60
Seq275;ee=0.012;size=1134;	Unsorted_P39
Seq277;ee=0.017;size=1128;	Native_F1
Seq279;ee=0.02;size=1126;	Unsorted_G15
Seq278;ee=0.0086;size=1126;	Unsorted_M27
Seq280;ee=0.017;size=1121;	Unsorted_J72
Seq281;ee=0.0062;size=1118;	Unsorted_N28
Seq282;ee=0.011;size=1112;	Unsorted_H2
Seq284;ee=0.017;size=1070;	Unsorted_B13
Seq283;ee=0.0062;size=1091;	Unsorted_N5
Seq285;ee=0.0062;size=1063;	Unsorted_N41
Seq286;ee=0.013;size=1058;	Unsorted_L43
Seq287;ee=0.22;size=1044;	Unsorted_E64
Seq288;ee=0.058;size=1035;	Unsorted_J40
Seq292;ee=0.0085;size=1014;	Unsorted_M44
Seq289;ee=0.015;size=1027;	Unsorted_Q3
Seq295;ee=0.015;size=1004;	Unsorted_E25
Seq290;ee=0.017;size=1017;	Unsorted_I6
Seq293;ee=0.017;size=1012;	Unsorted_I10
Seq291;ee=0.014;size=1015;	Unsorted_L21
Seq294;ee=0.0062;size=1010;	Unsorted_N38
Seq296;ee=0.07;size=991;	Unsorted_C37
Seq297;ee=0.012;size=989;	Unsorted_P45
Seq298;ee=0.017;size=975;	Unsorted_F27
Seq301;ee=0.017;size=950;	Unsorted_Q18
Seq299;ee=0.14;size=974;	Native_Q1
Seq303;ee=0.017;size=943;	Unsorted_B4
Seq300;ee=0.017;size=956;	Unsorted_F69
Seq302;ee=0.0062;size=947;	Unsorted_N17
Seq305;ee=0.018;size=937;	Unsorted_L64
Seq306;ee=0.23;size=920;	Unsorted_E24
Seq304;ee=0.015;size=938;	Unsorted_Q62
Seq308;ee=0.014;size=912;	Unsorted_Q25
Seq310;ee=0.015;size=906;	Unsorted_E30
Seq307;ee=0.015;size=916;	Unsorted_Q23
Seq309;ee=0.017;size=912;	Unsorted_J26
Seq311;ee=0.015;size=901;	Unsorted_E39
Seq313;ee=0.011;size=877;	Unsorted_H20
Seq315;ee=0.027;size=866;	Native_C1
Seq316;ee=0.019;size=860;	Unsorted_J4
Seq314;ee=0.0059;size=866;	Unsorted_A31
Seq312;ee=0.017;size=888;	Unsorted_F53
Seq317;ee=0.018;size=859;	Unsorted_F11
Seq318;ee=0.0059;size=841;	Unsorted_A56
Seq320;ee=0.0062;size=834;	Unsorted_N23
Seq319;ee=0.014;size=838;	Unsorted_E21
Seq322;ee=0.017;size=829;	Unsorted_J44
Seq324;ee=0.011;size=813;	Unsorted_H59
Seq326;ee=0.017;size=796;	Unsorted_F16
Seq323;ee=0.016;size=824;	Unsorted_Q41
Seq327;ee=0.014;size=794;	Unsorted_D2
Seq328;ee=0.017;size=791;	Unsorted_F57
Seq325;ee=0.0087;size=805;	Unsorted_M74
Seq329;ee=0.014;size=790;	Unsorted_O43
Seq330;ee=0.0085;size=784;	Unsorted_M61
Seq331;ee=0.013;size=783;	Unsorted_L41
Seq335;ee=0.32;size=762;	Unsorted_C16
Seq336;ee=0.019;size=761;	Unsorted_I49
Seq334;ee=0.013;size=771;	Unsorted_P31
Seq339;ee=0.015;size=716;	Unsorted_O44
Seq337;ee=0.0059;size=732;	Unsorted_A11
Seq338;ee=0.0062;size=722;	Unsorted_N14
Seq340;ee=0.012;size=709;	Unsorted_P6
Seq341;ee=0.012;size=692;	Unsorted_P24
Seq343;ee=0.018;size=680;	Unsorted_J61
Seq342;ee=0.043;size=680;	Unsorted_B65
Seq346;ee=0.011;size=669;	Unsorted_H4
Seq344;ee=0.066;size=678;	Unsorted_F20
Seq345;ee=0.014;size=670;	Unsorted_D68
Seq348;ee=0.017;size=666;	Unsorted_J6
Seq351;ee=0.12;size=652;	Unsorted_Q37
Seq350;ee=0.12;size=655;	Unsorted_F42
Seq349;ee=0.017;size=662;	Unsorted_F17
Seq354;ee=0.023;size=638;	Unsorted_C39
Seq352;ee=0.012;size=651;	Unsorted_H68
Seq353;ee=0.017;size=645;	Unsorted_I61
Seq355;ee=0.025;size=635;	Unsorted_C48
Seq356;ee=0.015;size=632;	Unsorted_L62
Seq357;ee=0.012;size=631;	Unsorted_P69
Seq359;ee=0.52;size=626;	Unsorted_Q69
Seq360;ee=0.012;size=625;	Unsorted_P10
Seq361;ee=0.015;size=623;	Unsorted_Q59
Seq364;ee=0.016;size=613;	Unsorted_Q33
Seq362;ee=0.0062;size=615;	Unsorted_N34
Seq363;ee=0.017;size=613;	Unsorted_J28
Seq366;ee=0.012;size=612;	Unsorted_P58
Seq365;ee=0.017;size=612;	Unsorted_I40
Seq367;ee=0.022;size=611;	Unsorted_Q22
Seq368;ee=0.014;size=609;	Unsorted_O27
Seq370;ee=0.014;size=606;	Unsorted_O70
Seq374;ee=0.017;size=591;	Unsorted_J47
Seq372;ee=0.012;size=600;	Unsorted_P51
Seq376;ee=0.0062;size=587;	Unsorted_N39
Seq377;ee=0.0062;size=584;	Unsorted_N37
Seq378;ee=0.014;size=582;	Unsorted_D21
Seq380;ee=0.014;size=575;	Unsorted_O57
Seq382;ee=0.017;size=575;	Unsorted_I22
Seq379;ee=0.02;size=575;	Unsorted_G44
Seq383;ee=0.018;size=574;	Unsorted_F28
Seq381;ee=0.017;size=575;	Unsorted_J57
Seq385;ee=0.015;size=574;	Unsorted_L55
Seq384;ee=0.017;size=574;	Unsorted_D60
Seq386;ee=0.0062;size=570;	Unsorted_N4
Seq390;ee=0.026;size=564;	Unsorted_C11
Seq388;ee=0.023;size=567;	Unsorted_C2
Seq389;ee=0.024;size=567;	Unsorted_C1
Seq394;ee=0.017;size=561;	Unsorted_F62
Seq358;ee=0.017;size=627;	Unsorted_J75
Seq393;ee=0.011;size=563;	Unsorted_H30
Seq395;ee=0.017;size=560;	Unsorted_F71
Seq396;ee=0.0059;size=558;	Unsorted_A60
Seq391;ee=0.015;size=564;	Unsorted_E33
Seq398;ee=0.015;size=546;	Unsorted_Q73
Seq402;ee=0.015;size=533;	Unsorted_Q68
Seq400;ee=0.015;size=536;	Unsorted_Q28
Seq404;ee=0.085;size=530;	Unsorted_H10
Seq406;ee=0.015;size=528;	Unsorted_Q42
Seq405;ee=0.02;size=529;	Native_G1
Seq403;ee=0.086;size=531;	Unsorted_D69
Seq401;ee=0.014;size=534;	Unsorted_D7
Seq408;ee=0.0086;size=514;	Native_M1
Seq410;ee=0.014;size=512;	Unsorted_D61
Seq409;ee=0.016;size=513;	Unsorted_Q38
Seq413;ee=0.017;size=499;	Unsorted_J58
Seq414;ee=0.017;size=499;	Unsorted_B29
Seq411;ee=0.013;size=506;	Unsorted_P40
Seq415;ee=0.017;size=498;	Unsorted_I34
Seq419;ee=0.014;size=491;	Unsorted_D16
