Seq2;ee=0.0059;size=137135;	Unsorted_A6
Seq5;ee=0.28;size=88168;	Unsorted_L37
Seq6;ee=0.013;size=75446;	Unsorted_L46
Seq7;ee=0.013;size=56840;	Unsorted_L27
Seq8;ee=0.013;size=48049;	Native_L1
Seq3;ee=0.0059;size=128470;	Unsorted_A75
Seq9;ee=0.0062;size=47193;	Unsorted_N1
Seq11;ee=0.0059;size=45502;	Unsorted_A47
Seq10;ee=0.013;size=45571;	Unsorted_L36
Seq12;ee=0.014;size=44636;	Unsorted_L39
Seq13;ee=0.013;size=44410;	Unsorted_L17
Seq4;ee=0.013;size=102726;	Unsorted_L11
Seq15;ee=0.0059;size=41203;	Unsorted_A53
Seq18;ee=0.4;size=37278;	Unsorted_A12
Seq17;ee=0.0059;size=38175;	Unsorted_A73
Seq23;ee=0.014;size=30982;	Unsorted_L9
Seq22;ee=0.0059;size=31915;	Unsorted_A50
Seq21;ee=0.0059;size=32367;	Unsorted_A39
Seq25;ee=0.013;size=28814;	Unsorted_L2
Seq28;ee=0.016;size=25257;	Unsorted_L56
Seq29;ee=0.0059;size=24883;	Unsorted_A36
Seq30;ee=0.0059;size=24656;	Unsorted_A13
Seq31;ee=0.0059;size=23667;	Unsorted_A9
Seq27;ee=0.016;size=26031;	Unsorted_L58
Seq33;ee=0.014;size=22017;	Unsorted_L13
Seq32;ee=0.0059;size=22516;	Unsorted_A62
Seq35;ee=0.013;size=21660;	Unsorted_L51
Seq36;ee=0.0062;size=21046;	Unsorted_N29
Seq37;ee=0.0059;size=20556;	Unsorted_A37
Seq38;ee=0.0059;size=19665;	Native_A1
Seq39;ee=0.0059;size=19172;	Unsorted_A51
Seq40;ee=0.042;size=18618;	Unsorted_J49
Seq42;ee=0.0059;size=17243;	Unsorted_A70
Seq41;ee=0.013;size=17741;	Unsorted_L12
Seq45;ee=0.0059;size=16059;	Unsorted_A32
Seq43;ee=0.0059;size=17219;	Unsorted_A57
Seq44;ee=0.014;size=16690;	Unsorted_L34
Seq46;ee=0.0059;size=15635;	Unsorted_A14
Seq48;ee=0.0059;size=14569;	Unsorted_A45
Seq47;ee=0.013;size=15005;	Unsorted_L28
Seq49;ee=0.099;size=13795;	Unsorted_L20
Seq50;ee=0.0059;size=13104;	Unsorted_A68
Seq51;ee=0.016;size=12840;	Unsorted_B31
Seq52;ee=0.015;size=12749;	Unsorted_E34
Seq53;ee=0.13;size=12701;	Native_H1
Seq54;ee=0.0059;size=12221;	Unsorted_A52
Seq55;ee=0.0062;size=11537;	Native_N1
Seq56;ee=0.0059;size=11535;	Unsorted_A64
Seq57;ee=0.0059;size=11457;	Unsorted_A38
Seq58;ee=0.017;size=11339;	Unsorted_L24
Seq59;ee=0.0059;size=10980;	Unsorted_A61
Seq60;ee=0.025;size=10794;	Unsorted_L61
Seq61;ee=0.019;size=10791;	Unsorted_J67
Seq62;ee=0.017;size=10653;	Unsorted_J23
Seq63;ee=0.0059;size=9890;	Unsorted_A67
Seq64;ee=0.013;size=9715;	Unsorted_L15
Seq65;ee=0.013;size=8983;	Unsorted_L16
Seq66;ee=0.014;size=8673;	Unsorted_L75
Seq67;ee=0.011;size=8537;	Unsorted_P5
Seq68;ee=0.013;size=8518;	Unsorted_L10
Seq69;ee=0.013;size=8410;	Unsorted_L22
Seq71;ee=0.0059;size=7482;	Unsorted_A71
Seq70;ee=0.0059;size=7626;	Unsorted_A44
Seq72;ee=0.0059;size=7477;	Unsorted_A1
Seq73;ee=0.0059;size=7407;	Unsorted_A65
Seq74;ee=0.014;size=7406;	Unsorted_L38
Seq75;ee=0.015;size=7131;	Unsorted_E11
Seq76;ee=0.013;size=7040;	Unsorted_L19
Seq77;ee=0.0059;size=7009;	Unsorted_A69
Seq78;ee=0.046;size=7008;	Unsorted_E49
Seq79;ee=0.013;size=6900;	Unsorted_L14
Seq80;ee=0.0059;size=6721;	Unsorted_A43
Seq81;ee=0.015;size=6640;	Native_E1
