Seq5;ee=0.0059;size=72;	GFP22_A
Seq3;ee=0.0059;size=85;	GFP11_A
Seq11;ee=0.0059;size=39;	GFP43_A
Seq13;ee=0.0059;size=36;	GFP8_A
Seq12;ee=0.0059;size=38;	Unsorted_A75
Seq14;ee=0.0059;size=32;	GFP20_A
Seq15;ee=0.0059;size=31;	GFP34_A
Seq6;ee=0.011;size=53;	PE30_A
Seq2;ee=0.0059;size=103;	GFP31_A
Seq16;ee=0.0059;size=31;	GFP39_A
Seq7;ee=0.0059;size=50;	PE50_A
Seq8;ee=0.0059;size=50;	GFP14_A
Seq21;ee=0.0059;size=21;	GFP17_A
Seq9;ee=0.0059;size=49;	GFP25_A
Seq10;ee=0.0059;size=40;	GFP6_A
Seq24;ee=0.0059;size=19;	Luciferase9_A
Seq18;ee=0.0059;size=28;	CTLA-Avidin1_A
Seq4;ee=0.0059;size=80;	CTLA-Avidin19_A
Seq27;ee=0.0059;size=17;	GFP47_A
Seq25;ee=0.0059;size=18;	GFP2_A
Seq26;ee=0.0059;size=17;	PD1-Avidin18_A
Seq23;ee=0.0059;size=21;	PD1-Avidin21_A
Seq19;ee=0.0059;size=27;	GFP3_A
Seq20;ee=0.014;size=22;	Unsorted_L37
Seq22;ee=0.0059;size=21;	Luciferase17_A
Seq29;ee=0.0059;size=16;	GFP32_A
Seq28;ee=0.013;size=16;	Unsorted_L46
Seq30;ee=0.0062;size=15;	VEGF15_N
Seq33;ee=0.0059;size=14;	PD1-Avidin44_A
Seq31;ee=0.0059;size=15;	Unsorted_A37
Seq32;ee=0.0059;size=14;	CTLA-Avidin35_A
Seq34;ee=0.0059;size=14;	CTLA-Avidin7_A
Seq36;ee=0.0059;size=13;	Unsorted_A12
Seq35;ee=0.0059;size=13;	GFP5_A
Seq37;ee=0.0059;size=12;	Unsorted_A6
Seq38;ee=0.0059;size=12;	PD1-Avidin43_A
Seq39;ee=0.0059;size=11;	PE7_A
Seq40;ee=0.0059;size=11;	GFP23_A
Seq41;ee=0.011;size=11;	Unsorted_A73
Seq43;ee=0.0062;size=10;	Unsorted_N1
Seq42;ee=0.0059;size=11;	PD1-Avidin20_A
Seq44;ee=0.0059;size=9;	GFP42_A
Seq45;ee=0.013;size=9;	Native_L1
Seq46;ee=0.0059;size=9;	GFP9_A
Seq47;ee=0.013;size=9;	Unsorted_L11
Seq50;ee=0.0059;size=8;	PE3_A
Seq53;ee=0.0059;size=8;	GFP37_A
Seq54;ee=0.0059;size=7;	Unsorted_A13
Seq58;ee=0.0062;size=7;	Luciferase43_N
Seq48;ee=0.0062;size=8;	VEGF39_N
Seq59;ee=0.0059;size=7;	Unsorted_A59
Seq56;ee=0.013;size=7;	Unsorted_L71
Seq60;ee=0.0059;size=7;	Unsorted_A39
Seq61;ee=0.0062;size=7;	PE9_N
Seq62;ee=0.0059;size=7;	Unsorted_A53
Seq65;ee=0.0059;size=6;	Unsorted_A47
Seq63;ee=0.0059;size=6;	CTLA-Avidin38_A
Seq64;ee=0.017;size=6;	Unsorted_J32
Seq66;ee=0.0059;size=6;	GFP45_A
Seq69;ee=0.013;size=6;	Unsorted_L12
Seq67;ee=0.012;size=6;	Unsorted_P5
Seq70;ee=0.0059;size=6;	Unsorted_A14
Seq71;ee=0.075;size=5;	Unsorted_L36
Seq74;ee=0.013;size=5;	Unsorted_L27
Seq77;ee=0.015;size=5;	Unsorted_L39
Seq72;ee=0.0059;size=5;	GFP33_A
Seq78;ee=0.0059;size=5;	GFP40_A
Seq80;ee=0.0059;size=5;	Unsorted_A57
Seq82;ee=0.013;size=5;	Unsorted_L63
Seq85;ee=0.016;size=4;	Unsorted_A65
Seq83;ee=0.0059;size=5;	Unsorted_A71
Seq86;ee=0.0059;size=4;	PD1-Avidin32_A
Seq84;ee=0.0098;size=5;	PD1-Avidin40_A
Seq87;ee=0.0059;size=4;	CTLA-Avidin47_A
Seq91;ee=0.0059;size=4;	Unsorted_A62
Seq89;ee=0.0059;size=4;	PE36_A
Seq93;ee=0.0059;size=4;	PE38_A
Seq94;ee=0.0059;size=4;	GFP15_A
Seq92;ee=0.017;size=4;	Unsorted_J49
Seq96;ee=0.0062;size=4;	VEGF21_N
Seq100;ee=0.018;size=4;	Unsorted_L34
Seq97;ee=0.0059;size=4;	Unsorted_A44
Seq102;ee=0.0062;size=4;	Unsorted_N29
Seq99;ee=0.0059;size=4;	Unsorted_A4
Seq104;ee=0.0059;size=4;	CTLA-Avidin12_A
Seq101;ee=0.0059;size=4;	Unsorted_A68
Seq103;ee=0.018;size=4;	Unsorted_J12
Seq108;ee=0.0059;size=4;	Unsorted_A52
Seq105;ee=0.0059;size=4;	Unsorted_A64
Seq112;ee=0.075;size=3;	Unsorted_F40
Seq111;ee=0.013;size=3;	Unsorted_L22
Seq115;ee=0.013;size=3;	Unsorted_L16
Seq116;ee=0.0059;size=3;	GFP18_A
Seq117;ee=0.0079;size=3;	CTLA-Avidin24_A
Seq122;ee=0.0059;size=3;	GFP16_A
Seq118;ee=0.0062;size=3;	VEGF24_N
Seq121;ee=0.0059;size=3;	Unsorted_A67
Seq128;ee=0.0059;size=3;	PD1-Avidin23_A
Seq125;ee=0.013;size=3;	Unsorted_L9
Seq123;ee=0.0059;size=3;	GFP1_A
Seq126;ee=0.013;size=3;	Unsorted_L75
Seq127;ee=0.013;size=3;	Unsorted_L2
Seq130;ee=0.042;size=3;	Unsorted_E12
Seq134;ee=0.0059;size=3;	Unsorted_A21
Seq132;ee=0.017;size=3;	Unsorted_J23
Seq139;ee=0.0059;size=3;	PD1-Avidin29_A
Seq144;ee=0.0059;size=3;	PD1-Avidin2_A
Seq137;ee=0.017;size=3;	Unsorted_J31
Seq146;ee=0.0059;size=3;	PD1-Avidin12_A
Seq149;ee=0.0069;size=3;	Luciferase5_N
Seq150;ee=0.0059;size=3;	Unsorted_A70
Seq148;ee=0.015;size=3;	Native_E1
Seq156;ee=0.0059;size=3;	Unsorted_A51
Seq155;ee=0.0059;size=3;	Unsorted_A69
Seq153;ee=0.017;size=3;	Unsorted_J8
Seq157;ee=0.013;size=3;	Unsorted_L20
Seq159;ee=0.0059;size=3;	Unsorted_A19
Seq160;ee=0.0059;size=2;	PE10_A
Seq161;ee=0.021;size=2;	Unsorted_F31
Seq164;ee=0.018;size=2;	Unsorted_F7
Seq168;ee=0.018;size=2;	Unsorted_Q73
